arm,dataset,cost_no_battery,cost_oracle,cost_prophet,buy_no_battery,buy_oracle,buy_prophet,sell_no_battery,sell_oracle,sell_prophet,gross_oracle,energy_oracle,power_oracle,fixed_oracle,termadj_oracle,peakkw_oracle,efc_oracle,gross_prophet,energy_prophet,power_prophet,fixed_prophet,termadj_prophet,peakkw_prophet,efc_prophet,cost_milp_full,gross_milp_full,energy_milp_full,power_milp_full,fixed_milp_full,termadj_milp_full,peakkw_milp_full,efc_milp_full,efc_no_battery,fixed_no_battery,cost_self_consumption,efc_self_consumption,fixed_self_consumption,cost_fixed_schedule,efc_fixed_schedule,fixed_fixed_schedule,cost_delayed_pv_charge,efc_delayed_pv_charge,fixed_delayed_pv_charge,cost_price_threshold,efc_price_threshold,fixed_price_threshold,cost_price_rank_daily,efc_price_rank_daily,fixed_price_rank_daily,cost_tariff_arbitrage,efc_tariff_arbitrage,fixed_tariff_arbitrage,cost_price_oracle,efc_price_oracle,fixed_price_oracle,total_delayed_pv_charge,total_fixed_schedule,total_milp_full,total_no_battery,total_oracle,total_price_oracle,total_price_rank_daily,total_price_threshold,total_prophet,total_self_consumption,total_tariff_arbitrage,full_period_bound_is_exact,gen_mae,gen_rmse,gen_nmae,gen_skill_vs_naive,gen_mae_first_month,gen_mae_last_month,con_mae,con_rmse,con_nmae,con_skill_vs_naive,con_mae_first_month,con_mae_last_month,run_status,cost_peak_shaving,efc_peak_shaving,fixed_peak_shaving,cost_self_consumption_peak_shaving,efc_self_consumption_peak_shaving,fixed_self_consumption_peak_shaving,total_peak_shaving,total_self_consumption_peak_shaving,runtime_s,cycle_cost_reporting_eur_per_efc
AU_H24,Ausgrid 1,561.1516884645584,241.37255958746465,412.53063432748394,4017.9990000000003,2048.769719785319,3189.0446703970338,3862.8379999999997,1670.3082035734074,2797.630325530612,240.57103690933815,240.57103690933815,0.0,705.3016666664521,0.801522678126496,4.952,221.47742605263156,411.95354555432067,411.95354555432067,0.0,705.3016666664521,0.5770887731632783,4.848066706919182,233.00537616151678,241.01709740698232,241.6182394155772,241.6182394155772,0.0,705.3016666664521,-0.601142008594872,4.952,220.7023194736842,0.0,705.3016666664521,277.04276377973434,200.65038574999986,705.3016666664521,390.8398571756141,77.4884999999999,705.3016666664521,290.02282978525056,190.1223361742029,705.3016666664521,258.8428735802742,238.51257550000005,705.3016666664521,256.29309769355746,239.82498275000006,705.3016666664521,413.0786120321565,169.93293387078106,705.3016666664521,256.59813997498793,238.5494375000002,705.3016666664521,369.24046985783514,423.12673217561405,332.9763971876841,561.1516884645584,333.6548204427278,355.99373893332137,356.22017383939084,358.22311337194094,509.6162077281159,360.64709117556765,483.88400114498194,True,0.2893493473093777,0.5241194135649198,0.49490814657147203,-0.11230192647589377,0.18696604024303837,0.20457371587453238,0.4411655081941924,0.5977996759183118,0.7323889303504804,-0.1022459428209237,0.7002926082811354,0.5142092047243848,cached,,,,,,,,,,
AU_H24,Ausgrid 104,2374.0614155183684,2058.6052898712087,2153.627772637577,12190.554,11971.836568227147,12621.302410591472,382.53499999999997,6.856578947368443,633.6951849031494,2057.8037671930824,2057.8037671930824,0.0,705.3016666664521,0.801522678126496,12.198,156.83891263157892,2152.8262499594507,2152.8262499594507,0.0,705.3016666664521,0.801522678126496,12.198,178.88596349118575,2057.4407298280626,2058.0418718366573,2058.0418718366573,0.0,705.3016666664521,-0.601142008594872,12.198,156.89116921052633,0.0,705.3016666664521,2284.4928299292633,34.90378374999993,705.3016666664521,2065.4005818492983,181.73668999999992,705.3016666664521,2284.4928299292633,34.90378374999993,705.3016666664521,2040.2394114142774,241.02293099999983,705.3016666664521,2036.8383576551253,243.52136074999984,705.3016666664521,2085.3458498974414,261.35865407106155,705.3016666664521,2040.608344631247,238.58956724999976,705.3016666664521,2299.03607315843,2141.1242026826317,2122.8120503324485,2374.0614155183684,2123.9548368010333,2140.020664318747,2138.3055913009584,2140.6656326642774,2228.1635907589043,2299.03607315843,2194.245289093717,True,0.11572332966589863,0.19831968137297754,0.4903744396587151,-0.2764711477418238,0.10079058624297124,0.10489908211373518,1.2231796807515634,1.8089353565694213,0.7722400595319993,-0.327015952271718,0.9467490767036093,0.7840368972809517,cached,,,,,,,,,,
AU_H24,Ausgrid 113,926.2892819864417,643.3838274364279,738.9003874343633,4569.722,3968.2728423130193,4506.588836143479,768.287,26.18040250000002,572.0552823226235,642.5823047583013,642.5823047583013,0.0,705.3016666664521,0.801522678126496,4.53,140.95340289473683,738.0988647562368,738.0988647562368,0.0,705.3016666664521,0.801522678126496,4.53,133.58833449211505,643.6510822471614,644.2522242557562,644.2522242557562,0.0,705.3016666664521,-0.601142008594872,4.53,137.0477905263158,0.0,705.3016666664521,781.9695498234653,69.38438150000005,705.3016666664521,674.6300532051115,136.60740174999984,705.3016666664521,781.990339264094,69.36596428543727,705.3016666664521,629.2510297944914,234.0007427500002,705.3016666664521,626.7882036234598,236.84130900000036,705.3016666664521,696.2153474401974,228.3057170614813,705.3016666664521,629.8286597836986,231.79487350000028,705.3016666664521,810.8928243830262,731.5498039342781,700.754328299793,926.2892819864417,702.1144119759015,726.4098570753654,725.47208237346,726.7513392736581,794.5621934727446,810.8797087817986,791.342729549148,True,0.11019351393722276,0.19505099513381577,0.47318298497947625,-0.14094207333845277,0.09694635204777033,0.11816217394039825,0.31167273781893506,0.44933695159103254,0.46739393894105047,0.07052046595837458,0.37560888170978995,0.3888861479156169,cached,,,,,,,,,,
AU_H24,Ausgrid 127,791.6653515731557,547.1876347272798,628.0312514597877,3740.375,3585.618489099723,4107.740235406774,285.355,9.594265000000021,521.7941624583082,546.3861120491533,546.3861120491533,0.0,705.3016666664521,0.801522678126496,5.4700000000000015,121.80411578947368,627.2297287816612,627.2297287816612,0.0,705.3016666664521,0.801522678126496,4.9529202454457355,131.47155825747973,546.1510752888939,546.7522172974888,546.7522172974888,0.0,705.3016666664521,-0.601142008594872,5.469999999999999,120.958005,0.0,705.3016666664521,741.3693648111266,26.133288749999974,705.3016666664521,550.0049086061778,140.28338724999983,705.3016666664521,741.3693648111266,26.133288749999974,705.3016666664521,517.6527594600716,232.8108227500003,705.3016666664521,513.7842882908308,235.80950875000045,705.3016666664521,582.3014371245891,202.7520993528812,705.3016666664521,517.2276478128388,230.9297440000004,705.3016666664521,752.2582351236266,608.4563199603443,596.5502440388939,791.6653515731557,597.9393496395605,613.4483744795056,612.0382502699977,614.6572689392384,682.8110674004042,752.2582351236266,666.781478521623,True,0.08011630436425973,0.13956218826057734,0.452141964278596,-0.1269219641618804,0.06948271599393181,0.0731622042753028,0.27335405617507574,0.438463167437699,0.4782248888743982,0.21225066186006358,0.29041897808373307,0.28635005710279515,cached,,,,,,,,,,
AU_H24,Ausgrid 128,816.7668594428737,626.6920342228551,692.1670280553009,4365.071,4292.643720041551,4763.093313856514,187.64,13.907000000000016,470.92858286611084,625.8905115447286,625.8905115447286,0.0,705.3016666664521,0.801522678126496,5.234,102.61070157894737,691.3655053771744,691.3655053771744,0.0,705.3016666664521,0.801522678126496,5.234,115.69440455475151,625.9262808686778,626.5274228772727,626.5274228772727,0.0,705.3016666664521,-0.601142008594872,5.288,101.11774105263159,0.0,705.3016666664521,792.1352127818886,17.31451,705.3016666664521,635.3771383409562,105.30253199999974,705.3016666664521,792.1352127818886,17.31451,705.3016666664521,590.5166627848397,237.48764249999894,705.3016666664521,587.1412235156843,239.78454924999892,705.3016666664521,653.1145267836488,186.19554029895644,705.3016666664521,589.869243125355,234.91729324999886,705.3016666664521,799.3495919485553,679.2531933409562,668.058672973941,816.7668594428737,669.4464932140831,687.7514486461878,687.0514523698505,689.4698471598392,740.373029953114,799.3495919485553,730.6960019082139,True,0.09944699978778886,0.17322371620179366,0.49318536160331344,-0.17411969316750864,0.07537545753835197,0.09130312683102475,0.32499874038370086,0.4459085310423622,0.4789832805689037,-0.6060021761843786,0.2753409123518385,0.3566206669924405,cached,,,,,,,,,,
AU_H24,Ausgrid 137,1066.2853092328644,751.8063205743975,829.7648861549291,5156.477,4713.667997243767,5335.4092814055675,603.538,8.600105263157914,621.9787991593912,751.004797896271,751.004797896271,0.0,705.3016666664521,0.801522678126496,6.271999999999999,152.1307152631579,828.9633634768026,828.9633634768026,0.0,705.3016666664521,0.801522678126496,6.271999999999999,160.27888013729944,751.8638630756134,752.4650050842082,752.4650050842082,0.0,705.3016666664521,-0.601142008594872,6.271999999999999,149.3955473684211,0.0,705.3016666664521,967.7207396350461,54.69844450000013,705.3016666664521,775.4728302624233,160.8102147500003,705.3016666664521,967.7210346695731,54.697927159300455,705.3016666664521,738.2341542343925,238.77969275000024,705.3016666664521,730.3374936654594,241.46010100000026,705.3016666664521,795.1859250777486,230.63621448400835,705.3016666664521,737.4210304608963,237.1912377500002,705.3016666664521,990.511837652615,842.4770864082567,814.1120078124555,1066.2853092328644,815.1941186007133,836.2507128567297,830.9458690821261,837.7256928802259,896.5477528788039,990.5117581767129,891.2843477794188,True,0.14453951890119376,0.2560706215007819,0.47413057908402106,-0.18271168374597413,0.10079980322601882,0.11156119986180894,0.4061999424514299,0.5750053746385867,0.4926062230564005,-0.001933155079515636,0.5925842314575029,0.4597734738258214,cached,,,,,,,,,,
AU_H24,Ausgrid 138,1018.2596998267276,773.6607048645388,872.8051676916141,5965.689,5415.574994819945,6122.832525055885,2546.1800000000003,1856.9733355124654,2545.401819427402,773.3201858645001,773.3201858645001,0.0,705.3016666664521,0.34051900003877106,7.554,137.1841467105263,872.0125023348648,872.0125023348648,0.0,705.3016666664521,0.7926653567492263,7.554,157.73186948047723,771.9254564986388,772.5265985072336,772.5265985072336,0.0,705.3016666664521,-0.601142008594872,7.554,138.29971184210527,0.0,705.3016666664521,923.5271233376359,63.37994450000033,705.3016666664521,817.7574960376048,110.08063374999915,705.3016666664521,928.1554955575534,60.29639404779025,705.3016666664521,778.2951052543509,169.32143100000096,705.3016666664521,772.7669007282137,172.4341582500009,705.3016666664521,825.6566256900225,169.6876749083459,705.3016666664521,780.3797892446033,168.9338092500008,705.3016666664521,953.278993077466,863.6244267667712,829.5503364328493,1018.2596998267276,830.8207659939249,850.7688764321036,844.6144666657141,848.8457015043513,938.5267799751463,949.9354335459693,896.3598235684999,True,0.3091188114532364,0.6583262555200786,0.6682530037124103,-0.7374169915892939,0.04524314364882497,0.28690811715127174,0.6677767500371513,1.0742948466421849,0.7829187099789828,-0.08329070898800417,0.4660022505979051,0.22903741335546995,cached,,,,,,,,,,
AU_H24,Ausgrid 142,562.6454473426467,257.0153470531379,380.9777950685222,3082.336,1607.023264259003,2573.162973508902,2034.358,382.1333204639889,1355.3022051470027,256.21382437501137,256.21382437501137,0.0,705.3016666664521,0.801522678126496,4.948,176.2783042105263,380.1762723903957,380.1762723903957,0.0,705.3016666664521,0.801522678126496,4.948,169.42936404492735,255.99166615661704,256.5928081652119,256.5928081652119,0.0,705.3016666664521,-0.601142008594872,4.948,175.56302421052632,0.0,705.3016666664521,301.8342439244919,151.8776704999996,705.3016666664521,338.651701012535,105.46643749999987,705.3016666664521,304.99194933522455,149.5351125507343,705.3016666664521,267.97433067267787,215.7768089999999,705.3016666664521,263.95433775833106,217.79610249999982,705.3016666664521,372.8496685937326,186.97795737325225,705.3016666664521,264.9850766914316,215.97158799999983,705.3016666664521,367.29824623136386,382.5960499708683,329.14292624433637,562.6454473426467,330.4646404741905,354.9732383580982,354.70271379999764,357.8813344226778,451.5733634205753,365.11660663282504,450.7571508325877,True,0.1681428717651974,0.29154964752668583,0.48518568575211524,-0.1171046734483272,0.14566657774725805,0.15638416475470018,0.29258683783447537,0.4516744282580489,0.627618451161031,0.0953477695079753,0.5283015098668837,0.43544410328374566,cached,,,,,,,,,,
AU_H24,Ausgrid 148,1176.2005779492165,905.4811357902811,1025.9302617805079,6218.915000000001,5396.450589265928,6263.742174703055,988.8919999999999,25.11601385041554,880.0372576562186,904.6796131121546,904.6796131121546,0.0,705.3016666664521,0.801522678126496,6.364,141.5907657894737,1025.1287391023814,1025.1287391023814,0.0,705.3016666664521,0.801522678126496,6.572,153.64391917384052,906.0660478817283,906.6671898903231,906.6671898903231,0.0,705.3016666664521,-0.601142008594872,6.364,137.4357655263158,0.0,705.3016666664521,1013.4940142949636,89.24803975000019,705.3016666664521,945.9080410606925,123.7863277500001,705.3016666664521,1013.5040334314587,89.23087962976828,705.3016666664521,894.8743601097226,236.58345700000018,705.3016666664521,889.4760525857345,239.1432822500003,705.3016666664521,962.1721146014846,225.16641929925277,705.3016666664521,891.3063513380512,236.6203455000002,705.3016666664521,1050.6835666105287,997.4856776231926,963.33095018436,1176.2005779492165,964.4772882025618,989.8981619630513,989.119086856568,993.4508005263893,1089.9485614362748,1050.6806975241302,1055.9914559761733,True,0.10735366838576402,0.18855601448116235,0.473523018373735,-0.09960845042771282,0.09163121463110563,0.09596112387118252,0.5834251503352126,0.8273526816045437,0.7082574698229278,-0.22670981883950425,0.9235194043558526,0.6801778422935707,cached,,,,,,,,,,
AU_H24,Ausgrid 156,1068.7508545960864,835.3622521675449,926.2150081510031,5853.852,5300.132154224377,6092.254934021261,712.1859999999999,39.365778054016644,810.9132684715457,834.5607294894183,834.5607294894183,0.0,705.3016666664521,0.801522678126496,8.725999999999999,119.94908447368421,925.4134854728766,925.4134854728766,0.0,705.3016666664521,0.801522678126496,9.962842105263158,139.9968023304907,835.1857863412105,835.7869283498053,835.7869283498053,0.0,705.3016666664521,-0.601142008594872,8.725999999999999,117.23040500000002,0.0,705.3016666664521,962.4849187712547,62.57139699999982,705.3016666664521,865.8503263069716,106.63390000000027,705.3016666664521,962.5182112089097,62.54185734831549,705.3016666664521,810.7842712004717,236.63634575000324,705.3016666664521,804.7855423333197,239.2115512500033,705.3016666664521,878.2240498577387,220.39418506161465,705.3016666664521,807.946264273304,235.5671230000033,705.3016666664521,988.5773184373745,910.2811179736384,884.0317884245438,1068.7508545960864,885.3410373649133,906.0992321899721,904.457022020821,909.3827485963064,984.5470091220409,988.5563341879213,970.0549603000782,True,0.1056029259754181,0.1931024725417858,0.44236943317375765,-0.16814888296264696,0.08127958242982167,0.09532430664978328,0.5719560277795311,0.8396244597441361,0.6927180569227832,-0.662693218207661,0.7183640056823426,0.5813060046978109,cached,,,,,,,,,,
